820.00
LPG(ppm)		CO(ppm)			smoke(ppm)
329.00			12241.00			1776.00
322.00			12241.00			1776.00
322.00			11866.00			1776.00
322.00			11866.00			1734.00
315.00			11866.00			1734.00
315.00			11866.00			1734.00
315.00			11866.00			1734.00
315.00			11866.00			1734.00
315.00			11866.00			1734.00
315.00			11866.00			1734.00
315.00			11503.00			1693.00
308.00			11503.00			1693.00
308.00			11503.00			1693.00
308.00			11503.00			1693.00
308.00			11503.00			1693.00
308.00			11503.00			1693.00
308.00			11150.00			1693.00
301.00			11150.00			1653.00
301.00			11150.00			1653.00
301.00			11150.00			1653.00
301.00			11150.00			1653.00
301.00			11150.00			1653.00
301.00			11150.00			1653.00
301.00			11150.00			1653.00
294.00			11150.00			1614.00
294.00			10808.00			1653.00
294.00			10808.00			1614.00
294.00			10808.00			1614.00
294.00			10808.00			1614.00
294.00			10808.00			1614.00
294.00			10808.00			1614.00
294.00			10475.00			1575.00
287.00			10475.00			1575.00
287.00			10475.00			1575.00
287.00			10475.00			1575.00
287.00			10475.00			1575.00
287.00			10152.00			1575.00
281.00			10152.00			1537.00
281.00			10152.00			1537.00
281.00			10152.00			1537.00
281.00			10152.00			1537.00
275.00			9839.00			1500.00
275.00			9839.00			1500.00
268.00			9534.00			1464.00
275.00			9839.00			1500.00
281.00			10475.00			1776.00
1490.00			24707.00			29340.00
23744.00			29317.00			-13339.00
-14202.00			16683.00			3799.00
4579.00			14836.00			-19989.00
-694.00			27670.00			-5722.00
-23241.00			12933.00			2497.00
23293.00			-15737.00			11956.00
13109.00			12112.00			13460.00
8110.00			-6748.00			-16289.00
5618.00			-2415.00			-32295.00
4363.00			-21877.00			27561.00
3517.00			-3346.00			21891.00
2946.00			-15199.00			17731.00
2564.00			12881.00			15613.00
2230.00			-23869.00			13739.00
1978.00			15213.00			11827.00
1789.00			-3796.00			10851.00
1650.00			-14030.00			9953.00
1431.00			27949.00			8365.00
1319.00			15622.00			7664.00
1319.00			22816.00			8184.00
1521.00			-26446.00			9326.00
2143.00			32372.00			12613.00
3382.00			-3346.00			22356.00
5000.00			13563.00			-25477.00
5000.00			13563.00			-28661.00
3449.00			-12042.00			21891.00
2514.00			1670.00			14647.00
3126.00			28748.00			20125.00
2564.00			12881.00			15613.00
2186.00			-28579.00			13165.00
1718.00			-14030.00			10170.00
1431.00			25347.00			8184.00
1240.00			11143.00			7176.00
1096.00			961.00			6427.00
1009.00			-7917.00			5882.00
928.00			-12685.00			5380.00
871.00			-18458.00			5031.00
801.00			-22387.00			4704.00
768.00			-26001.00			4396.00
736.00			-28247.00			4202.00
691.00			-30372.00			3925.00
662.00			-32381.00			3751.00
634.00			31256.00			3583.00
608.00			29461.00			3502.00
595.00			27764.00			3345.00
570.00			26951.00			3269.00
558.00			26160.00			3122.00
534.00			24645.00			3051.00
523.00			23919.00			2981.00
501.00			22527.00			2846.00
479.00			21213.00			2717.00
469.00			20583.00			2655.00
459.00			19377.00			2534.00
439.00			18799.00			2475.00
430.00			18238.00			2418.00
